Epoch,Loss_D,Loss_G,Loss_G_ADV,Loss_G_MSE,Loss_G_TV,Loss_G_PERCEP,Score_D,Score_G,PSNR,SSIM
1,0.76321564078331,0.045698418021202086,0.7845466470718384,0.04150946065783501,0.006650727679952979,0.04150946065783501,0.5216056847572327,0.21545335948467254,11.960484610074666,0.28258369939449507
2,0.653385407924652,0.02554049700498581,0.9078654599189758,0.021285473331809045,0.0028967581316828727,0.021285473331809045,0.574116940498352,0.0921345471451059,17.387614152944224,0.41891177227863896
3,0.6534741950035096,0.019635101407766344,0.5594494485855103,0.015797075629234315,0.002764192186295986,0.015797075629234315,0.7854747605323792,0.44055055409669874,17.931889798576588,0.42687231455093777
4,0.930805549621582,0.016723250225186347,0.473187780380249,0.013045599311590194,0.002556505389511585,0.013045599311590194,0.5964942812919617,0.5268122208118439,19.02741940151279,0.4775899759469888
5,1.0104204034805297,0.014891307651996612,0.21345719337463379,0.011533424854278565,0.0025653648003935814,0.011533424854278565,0.8152799606323242,0.7865428054332733,19.528868703310806,0.5032145770696493
6,0.992623302936554,0.014921466261148453,0.8666289043426514,0.010971322990953922,0.002643915833905339,0.010971322990953922,0.1744868963956833,0.13337109506130218,18.277453984299417,0.5127571347432259
7,0.9830595970153808,0.013803446441888809,0.7984615015983582,0.009976957328617572,0.0027336627710610626,0.009976957328617572,0.2071128636598587,0.20153849691152573,18.51878072895191,0.499834438929191
8,0.9799141597747802,0.013274765461683274,0.6697384119033813,0.00963338602334261,0.0030780886858701706,0.00963338602334261,0.34651622295379636,0.33026159048080445,19.877300262271476,0.539095394886457
9,0.9845302319526672,0.014056930541992188,0.8227157044410706,0.010312229953706264,0.002952517280355096,0.010312229953706264,0.2252362298965454,0.17728430151939392,17.13818689620335,0.530329921306708
10,0.9913827323913574,0.01276047270745039,0.8978037810325623,0.009008791856467723,0.003326210752129555,0.009008791856467723,0.12074732214212418,0.10219621151685715,19.984139297703074,0.5456921557585398
11,0.9849045324325562,0.011660111472010612,0.8936333656311035,0.007976427003741264,0.0035117259062826633,0.007976427003741264,0.12970251843333244,0.10636663306038827,20.79841960572129,0.5787068406740824
12,0.987216317653656,0.011786258146166802,0.9969530820846557,0.008053852580487728,0.003724517114460468,0.008053852580487728,0.01539500206708908,0.0030469192645978184,19.986345556807798,0.5783023582055018
13,0.9948044776916504,0.011521041579544544,0.8532790184020996,0.00798867853358388,0.0037705060467123986,0.00798867853358388,0.14465539306402206,0.1467209866642952,20.15200958042602,0.5810341949646289
14,0.9910922622680665,0.01047323115170002,0.9225303649902343,0.006935470253229142,0.003899453338235617,0.006935470253229142,0.10530095670372247,0.07746963155455887,20.931368260690768,0.5999992375190442
15,0.9786595392227173,0.010620628520846366,0.9581017017364502,0.007091255690902472,0.004029755908995867,0.007091255690902472,0.057222026586532596,0.041898305118083956,20.7944262256118,0.6045134755281302
16,1.0033799600601196,0.00977147724479437,0.7142359447479248,0.006561119705438614,0.004358175881206989,0.006561119705438614,0.2682138466835022,0.2857640498876572,21.335796418378298,0.6127830033118908
17,1.004514253139496,0.009328896440565585,0.6715333962440491,0.006209583114832639,0.004416767470538616,0.006209583114832639,0.33073126912117007,0.328466602563858,20.59756592314093,0.6132587347275171
18,0.99058522939682,0.009664457142353058,0.6405518412590027,0.006615231353789568,0.004557840004563332,0.006615231353789568,0.3809159457683563,0.35944816172122956,21.24729428152083,0.6248750037107712
19,0.9871558284759522,0.009397443868219852,0.9682687950134278,0.006079931873828172,0.004579170998185873,0.006079931873828172,0.06534244692481934,0.03173120213897505,19.952890569995834,0.6032979633563604
20,0.9995364904403686,0.00930848702788353,0.9988085317611695,0.005999071057885885,0.004733791202306747,0.005999071057885885,0.0015627441535980323,0.0011914634375989408,21.091543064418175,0.619395062709466
21,0.9978517723083496,0.009337720610201359,0.9937022805213929,0.006071153953671455,0.004767150674015283,0.006071153953671455,0.008860603753710165,0.006297718131099828,21.53130811361722,0.6263672059927231
22,0.9996720671653747,0.008861541822552681,0.9891986870765686,0.005638989247381687,0.004847425911575556,0.005638989247381687,0.01426574930244442,0.010801308197685558,21.6802807531344,0.6412931902286334
23,0.999998254776001,0.00860348492860794,0.9999998736381531,0.005432047713547945,0.004961443673819304,0.005432047713547945,1.9094142760422983e-06,1.3144678831622514e-07,21.467383143712688,0.6353152898641733
24,0.9999968409538269,0.009024627171456814,0.999999680519104,0.0058751868456602095,0.005031750686466694,0.0058751868456602095,3.460283645608797e-06,3.1073318325525177e-07,21.43704108401712,0.6345158547927172
25,0.9999961566925049,0.00930785246193409,0.9999997448921204,0.006173939555883408,0.005045247934758663,0.006173939555883408,4.092067397323262e-06,2.6420663346016227e-07,20.731099077195488,0.6405344483179923
26,0.9999906301498414,0.009502751305699348,0.9999993395805359,0.0063704861886799335,0.0050555958598852155,0.0063704861886799335,1.0016409469244536e-05,6.603485667255882e-07,20.67340716652844,0.6411989461152982
27,0.9999921941757202,0.009132910147309303,0.9999994015693665,0.006023998390883207,0.0051339734718203545,0.006023998390883207,8.396223821023341e-06,5.958629932933945e-07,21.17970594084417,0.6407850201313312
28,0.9999940729141236,0.009084059149026871,0.9999995517730713,0.006027932614088059,0.005244105402380228,0.006027932614088059,6.367504018953696e-06,4.4403699774875347e-07,21.150497401963307,0.6438169525219843
29,0.999985065460205,0.009079544171690941,0.9999991250038147,0.005992588400840759,0.005211253650486469,0.005992588400840759,1.578544292897277e-05,8.713207375876663e-07,20.73028642910884,0.6447362441283006
30,0.9999717831611633,0.009272486940026282,0.9999982285499572,0.006189066469669342,0.005173740554600954,0.006189066469669342,2.9886373938552423e-05,1.7777889115677681e-06,21.378058130919758,0.6420412888893714
31,0.9999323463439942,0.008441372159868479,0.999998733997345,0.005409264042973518,0.005257704798132181,0.005409264042973518,6.877401022393315e-05,1.259110842966038e-06,21.785430037982305,0.6456953776188386
32,0.999100182056427,0.007974362447857857,0.9997722148895264,0.005006645545363426,0.005309886895120144,0.005006645545363426,0.0011442452166011208,0.00022778253648084501,22.142437074649944,0.6614390237209125
33,0.9988330483436585,0.008199418187141419,0.9996271181106567,0.005253616366535425,0.005349525511264801,0.005253616366535425,0.001503377658809768,0.00037287858132913245,21.975095959357684,0.6549034210351797
34,0.9997677326202392,0.00855744868516922,0.9587899255752563,0.00566792206838727,0.005366563014686108,0.00566792206838727,0.03389118932587735,0.04121006191418928,21.72009506820714,0.6542730942750589
